ID,EMP,NAME,DIFFICULTY,HOURS_WORKED,HOURS_NEEDED,CLIENT_RATING,DATE_OF_COMPLETION,MONEY_EARNED
1,1,Full stack development,8,57,75,6,1949-3-27,134
2,1,Website design,7,98,65,7,1951-11-14,285
3,1,C++ development,6,63,97,3,1948-3-6,131
4,1,Backend development,9,96,91,5,1952-1-29,922
5,2,Cross platform development,2,50,52,4,1947-12-14,980
6,2,Backend development,10,84,83,4,1941-5-2,155
7,2,Linux development,2,81,64,1,1962-6-7,1067
8,2,Full stack development,6,69,83,5,1974-1-13,580
9,3,Website design,9,78,67,1,1976-6-18,256
10,3,Windows app development,1,97,54,10,1979-5-8,814
11,3,Java development,9,99,92,5,1973-2-17,164
12,3,Windows app development,9,55,82,8,1974-6-6,379
13,3,Backend development,2,76,80,4,1951-6-16,279
14,4,C++ development,3,59,52,4,1962-9-8,1016
15,4,Website design,4,59,81,10,1943-5-26,617
16,4,C++ development,8,90,68,1,1979-7-20,1096
17,4,C++ development,10,59,94,5,1974-10-21,976
18,4,Full stack development,6,78,90,3,1956-6-14,865
19,4,Linux development,7,82,86,9,1953-11-22,839
20,4,C++ development,2,56,73,1,1956-8-30,922
21,4,Cross platform development,3,66,61,7,1976-8-6,460
22,5,Windows app development,3,96,67,1,1940-1-13,727
23,5,Full stack development,5,50,50,1,1975-2-16,747
24,5,C++ development,4,57,69,6,1952-6-3,802
25,5,Backend development,6,86,56,10,1961-1-8,867
26,6,Website design,3,70,69,1,1962-1-21,392
27,6,Windows app development,10,79,93,1,1949-10-1,790
28,6,Cross platform development,7,77,51,5,1953-4-23,846
29,6,Full stack development,10,66,77,10,1959-11-17,391
30,6,Cross platform development,2,93,90,3,1965-8-17,690
31,6,Windows app development,3,97,62,6,1953-3-4,826
32,6,Backend development,3,71,93,4,1956-12-16,418
33,7,C++ development,7,68,62,6,1961-4-3,664
34,7,Linux development,7,68,70,8,1956-1-11,114
35,7,Full stack development,4,68,51,6,1967-6-17,957
36,7,C++ development,3,85,78,4,1975-6-28,825
37,8,C++ development,2,93,93,5,1968-9-16,202
38,8,Cross platform development,7,85,72,3,1970-2-26,132
39,8,Full stack development,4,63,87,8,1946-4-4,586
40,8,Android app development,6,54,61,4,1943-8-27,970
41,8,Backend development,1,76,68,8,1959-7-22,444
42,8,C++ development,10,71,88,7,1945-1-1,446
43,9,Android app development,2,65,64,6,1965-7-28,193
44,9,Cross platform development,9,51,78,2,1979-10-10,622
45,9,C++ development,2,89,72,5,1956-10-21,590
46,9,Windows app development,10,78,64,5,1944-2-16,871
47,9,Windows app development,6,82,78,10,1956-9-9,286
48,9,Full stack development,10,50,72,8,1959-6-17,162
49,9,Java development,9,84,66,7,1943-10-25,155
50,10,Website design,3,96,68,7,1962-1-11,851
51,10,Backend development,10,69,76,3,1977-5-10,1085
52,10,Linux development,6,67,56,7,1975-11-2,864
53,10,Windows app development,4,56,80,4,1977-7-18,549
54,10,Windows app development,2,77,90,7,1953-6-23,787
55,11,Backend development,6,74,65,3,1940-12-17,742
56,11,Linux development,7,57,64,4,1948-7-22,879
57,11,Java development,5,58,54,2,1972-5-9,780
58,11,Full stack development,3,97,90,5,1969-2-15,847
59,11,Windows app development,5,84,50,3,1965-11-11,723
60,11,Cross platform development,6,93,74,8,1967-3-12,547
61,11,Java development,5,91,67,10,1964-12-5,834
62,12,Website design,2,57,83,8,1947-12-6,285
63,12,Website design,9,75,77,6,1952-3-28,862
64,12,C++ development,7,80,80,1,1971-12-4,525
65,12,Android app development,8,90,58,2,1948-9-18,1012
66,12,Website design,2,73,84,2,1941-7-15,206
67,12,Linux development,3,52,87,7,1976-6-1,361
68,13,C++ development,10,97,92,8,1974-3-1,195
69,13,Windows app development,5,68,58,2,1962-10-14,482
70,13,C++ development,5,51,53,6,1958-4-16,458
71,13,Cross platform development,1,82,90,1,1975-6-6,901
